结构名称,MSE,MAE,Avg_STD,Delta_cc,Delta_vdw,Delta_strain
t-0-0,2.2334882524e-03,1.1509341188e-02,4.8347865231e-03,-0.080282,0.000000,0.000000
t-0-1,1.8782335101e-03,1.0113737546e-02,4.5001008548e-03,-0.076056,0.000000,0.000000
t-0-2,1.6405500937e-03,9.0149464086e-03,4.2620594613e-03,-0.072535,0.000000,0.000000
t-0-3,1.4060761314e-03,7.7418670990e-03,4.0349815972e-03,-0.068310,0.000000,0.000000
t-0-4,1.2249269057e-03,6.5272315405e-03,3.8705207407e-03,-0.064085,0.000000,0.000000
t-0-5,1.1187439086e-03,5.6357220747e-03,3.7753444631e-03,-0.060563,0.000000,0.000000
t-0-6,1.0431277333e-03,4.8015210778e-03,3.6831342150e-03,-0.056338,0.000000,0.000000
t-0-7,1.0130847804e-03,4.2366115376e-03,3.5755790304e-03,-0.052113,0.000000,0.000000
t-0-8,1.0740485741e-03,4.0897922590e-03,3.5423575900e-03,-0.048592,0.000000,0.000000
t-0-9,1.0928196134e-03,3.7418354768e-03,3.3572625834e-03,-0.044366,0.000000,0.000000
t-1-0,1.1217189021e-03,3.5177303944e-03,3.1405685004e-03,-0.040141,0.000000,0.000000
t-1-1,1.1459384114e-03,3.4149854910e-03,2.9514413327e-03,-0.036620,0.000000,0.000000
t-1-2,1.1685568606e-03,3.3623888157e-03,2.7359060477e-03,-0.032394,0.000000,0.000000
t-1-3,1.1817753548e-03,3.3767179120e-03,2.5559987407e-03,-0.028169,0.000000,0.000000
t-1-4,1.1861469829e-03,3.4058825113e-03,2.4405035656e-03,-0.024648,0.000000,0.000000
t-1-5,2.7836678782e-05,1.4572211076e-03,8.3397544222e-04,-0.020423,0.000000,0.000000
t-1-6,1.6627842342e-05,1.1096674716e-03,6.6005857661e-04,-0.016197,0.000000,0.000000
t-1-7,9.9636599771e-06,8.5908325855e-04,5.2831170615e-04,-0.012676,0.000000,0.000000
t-1-8,4.4949651965e-06,5.9235864319e-04,3.8609860349e-04,-0.008451,0.000000,0.000000
t-1-9,1.3136689176e-06,3.5620434210e-04,2.6495763450e-04,-0.004225,0.000000,0.000000
t-2-0,1.2363661028e-07,1.7626179033e-04,1.9419904856e-04,0.000000,0.000000,0.000000
t-2-1,5.2691245855e-07,2.5372789241e-04,2.1863440634e-04,0.003521,0.000000,0.000000
t-2-2,2.5337776606e-06,4.4502739911e-04,3.1100312481e-04,0.007746,0.000000,0.000000
t-2-3,6.0165484683e-06,6.3617754495e-04,4.1895676986e-04,0.011972,0.000000,0.000000
t-2-4,9.7920537883e-06,7.8538106754e-04,5.1042542327e-04,0.015493,0.000000,0.000000
t-2-5,1.5223447008e-05,9.5576088643e-04,6.2159920344e-04,0.019718,0.000000,0.000000
t-2-6,2.1402604034e-05,1.1199216824e-03,7.3581916513e-04,0.023944,0.000000,0.000000
t-2-7,4.2938228580e-04,2.3542635608e-03,1.3727138285e-03,0.027465,0.000000,0.000000
t-2-8,4.4617860112e-04,2.3954524659e-03,1.4334402513e-03,0.031690,0.000000,0.000000
t-2-9,4.6124830260e-04,2.4682788644e-03,1.5051682713e-03,0.035915,0.000000,0.000000
t-3-0,4.7382080811e-04,2.5437746663e-03,1.5719787916e-03,0.039437,0.000000,0.000000
t-3-1,4.9301038962e-04,2.6205135509e-03,1.6586164711e-03,0.043662,0.000000,0.000000
t-3-2,5.2259454969e-04,2.6686894707e-03,1.7670316156e-03,0.047887,0.000000,0.000000
t-3-3,5.5977841839e-04,2.7577492874e-03,1.8909485079e-03,0.051408,0.000000,0.000000
t-3-4,1.0199685348e-03,3.5470530856e-03,2.2602472454e-03,0.055634,0.000000,0.000000
t-3-5,1.1042195838e-03,4.0350058116e-03,2.4728479329e-03,0.059859,0.000000,0.000000
t-3-6,1.1906723958e-03,4.5703626238e-03,2.6486413553e-03,0.063380,0.000000,0.000000
t-3-7,1.3252334902e-03,5.4003768601e-03,2.8689694591e-03,0.067606,0.000000,0.000000
t-3-8,1.5259521315e-03,6.5174559131e-03,3.1105445232e-03,0.071831,0.000000,0.000000
t-3-9,1.7852721503e-03,7.7046719380e-03,3.3444755245e-03,0.075352,0.000000,0.000000
