结构名称,MSE,MAE,Avg_STD,Delta_cc,Delta_vdw,Delta_strain
t-0-0,4.6810684726e-03,2.2052409127e-02,8.2637174055e-03,0.000000,-0.300000,0.000000
t-0-1,3.8268258795e-03,1.9608572125e-02,7.5326645747e-03,0.000000,-0.285075,0.000000
t-0-2,3.1216791831e-03,1.7399525270e-02,6.7897727713e-03,0.000000,-0.270149,0.000000
t-0-3,2.5566755794e-03,1.5541953035e-02,6.2221363187e-03,0.000000,-0.255224,0.000000
t-0-4,2.0272319671e-03,1.3855565339e-02,5.9818709269e-03,0.000000,-0.240000,0.000000
t-0-5,1.3989972649e-03,1.1600540951e-02,5.2981209010e-03,0.000000,-0.225075,0.000000
t-0-6,6.0767953983e-04,7.9127689824e-03,4.1112229228e-03,0.000000,-0.210149,0.000000
t-0-7,2.0681704336e-04,5.0314906985e-03,3.1438393053e-03,0.000000,-0.195224,0.000000
t-0-8,1.3013582793e-04,4.0215319023e-03,2.4854459334e-03,0.000000,-0.180000,0.000000
t-0-9,8.0555830209e-05,3.1542829238e-03,1.9694291987e-03,0.000000,-0.165075,0.000000
t-1-0,5.2314273489e-05,2.5266457815e-03,1.5419432893e-03,0.000000,-0.150149,0.000000
t-1-1,3.0917657568e-05,1.9558672793e-03,1.2269569561e-03,0.000000,-0.135224,0.000000
t-1-2,1.5984913261e-05,1.4525944134e-03,9.2864094768e-04,0.000000,-0.120000,0.000000
t-1-3,9.9319267974e-06,9.8312529735e-04,6.1087822542e-04,0.000000,-0.105075,0.000000
t-1-4,5.5315767895e-06,6.0816755285e-04,4.4070111471e-04,0.000000,-0.090149,0.000000
t-1-5,2.3012767087e-06,3.9931436186e-04,3.2169383485e-04,0.000000,-0.075224,0.000000
t-1-6,1.0500543794e-06,2.6396405883e-04,2.4244160159e-04,0.000000,-0.060000,0.000000
t-1-7,8.2062467754e-07,2.6583491126e-04,2.3455698101e-04,0.000000,-0.045075,0.000000
t-1-8,3.7747352621e-07,2.0615071116e-04,2.0008362480e-04,0.000000,-0.030149,0.000000
t-1-9,1.5928304720e-07,1.7259607557e-04,1.8093110702e-04,0.000000,-0.015224,0.000000
t-2-0,1.2363661028e-07,1.7626179033e-04,1.9419904856e-04,0.000000,0.000000,0.000000
t-2-1,1.9292862419e-07,1.7848337302e-04,2.0771290292e-04,0.000000,0.014925,0.000000
t-2-2,2.3473400290e-07,1.7683839542e-04,2.0709409728e-04,0.000000,0.029851,0.000000
t-2-3,1.8877881303e-07,1.9884888025e-04,2.0472788310e-04,0.000000,0.044776,0.000000
t-2-4,5.5960526879e-07,2.6482349494e-04,2.2060557967e-04,0.000000,0.060000,0.000000
t-2-5,1.8835095261e-06,3.6484966404e-04,2.5394355180e-04,0.000000,0.074925,0.000000
t-2-6,4.1701973714e-06,4.7771478421e-04,3.0230160337e-04,0.000000,0.089851,0.000000
t-2-7,7.1546733125e-06,6.0214352561e-04,3.5975637729e-04,0.000000,0.104776,0.000000
t-2-8,1.0972974451e-05,7.4579322245e-04,4.1853834409e-04,0.000000,0.120000,0.000000
t-2-9,5.2145605878e-05,1.5388566535e-03,5.7006749557e-04,0.000000,0.134925,0.000000
t-3-0,5.8906141930e-05,1.6278284602e-03,5.9117260389e-04,0.000000,0.149851,0.000000
t-3-1,7.0840513217e-05,1.7290351680e-03,6.1175163137e-04,0.000000,0.164776,0.000000
t-3-2,9.1166963102e-05,1.8695461331e-03,6.5584608819e-04,0.000000,0.180000,0.000000
t-3-3,1.2051299564e-04,2.0563274156e-03,7.2880083462e-04,0.000000,0.194925,0.000000
t-3-4,1.9446865190e-04,2.6073686313e-03,8.5623486666e-04,0.000000,0.209851,0.000000
t-3-5,2.2479887411e-04,2.8216734063e-03,9.4229169190e-04,0.000000,0.224776,0.000000
t-3-6,2.5782929151e-04,3.0283883680e-03,1.0374763515e-03,0.000000,0.240000,0.000000
t-3-7,2.9265211197e-04,3.2100789249e-03,1.1271752883e-03,0.000000,0.254925,0.000000
t-3-8,3.2767964876e-04,3.3921622671e-03,1.2123541674e-03,0.000000,0.269851,0.000000
t-3-9,3.7108737160e-04,3.5850489512e-03,1.2958771549e-03,0.000000,0.284776,0.000000
t-4-0,4.2311611469e-04,3.7807505578e-03,1.3760739239e-03,0.000000,0.300000,0.000000
