结构名称,MSE,MAE,Avg_STD,Delta_cc,Delta_vdw,Delta_strain
t-0-0,5.4592906963e-04,2.4221946951e-03,1.8692992162e-03,0.000000,0.000000,-0.050000
t-0-1,5.5203313241e-04,2.4312406313e-03,1.8252222799e-03,0.000000,0.000000,-0.047500
t-0-2,5.5758905364e-04,2.4425794836e-03,1.7814948224e-03,0.000000,0.000000,-0.045000
t-0-3,1.6742493608e-04,1.5095266281e-03,1.1875058990e-03,0.000000,0.000000,-0.042500
t-0-4,1.6710470663e-04,1.4684824273e-03,1.1324333027e-03,0.000000,0.000000,-0.040000
t-0-5,1.6651516489e-04,1.4364519157e-03,1.0807235958e-03,0.000000,0.000000,-0.037500
t-0-6,1.6566550767e-04,1.4104344882e-03,1.0338381398e-03,0.000000,0.000000,-0.035000
t-0-7,1.6461549967e-04,1.3935731258e-03,9.9298043642e-04,0.000000,0.000000,-0.032500
t-0-8,1.6343135212e-04,1.3861025218e-03,9.5861754380e-04,0.000000,0.000000,-0.030000
t-0-9,1.6215274809e-04,1.3849695679e-03,9.3070312869e-04,0.000000,0.000000,-0.027500
t-1-0,9.7349629868e-06,8.7850744603e-04,5.4964289302e-04,0.000000,0.000000,-0.025000
t-1-1,7.8069624578e-06,7.8672647942e-04,5.0089153228e-04,0.000000,0.000000,-0.022500
t-1-2,6.1475079747e-06,6.9991894998e-04,4.5409781160e-04,0.000000,0.000000,-0.020000
t-1-3,4.7306862143e-06,6.1786832521e-04,4.0944034117e-04,0.000000,0.000000,-0.017500
t-1-4,3.5325749650e-06,5.4046045989e-04,3.6712328438e-04,0.000000,0.000000,-0.015000
t-1-5,2.5331041797e-06,4.6764683793e-04,3.2740924507e-04,0.000000,0.000000,-0.012500
t-1-6,1.7185428760e-06,3.9977600682e-04,2.9056516360e-04,0.000000,0.000000,-0.010000
t-1-7,1.0747899069e-06,3.3461124985e-04,2.5718394318e-04,0.000000,0.000000,-0.007500
t-1-8,5.9652455775e-07,2.7392493212e-04,2.2843413171e-04,0.000000,0.000000,-0.005000
t-1-9,2.7994536822e-07,2.1885753085e-04,2.0644020697e-04,0.000000,0.000000,-0.002500
t-2-0,1.2363661028e-07,1.7626179033e-04,1.9419904856e-04,0.000000,0.000000,0.000000
t-2-1,1.2760324353e-07,1.7270527314e-04,1.9463570789e-04,0.000000,0.000000,0.002500
t-2-2,2.9123825129e-07,2.1609159012e-04,2.0626632613e-04,0.000000,0.000000,0.005000
t-2-3,6.1242053562e-07,2.7066000621e-04,2.2625381825e-04,0.000000,0.000000,0.007500
t-2-4,1.0867050833e-06,3.2980524702e-04,2.5187124265e-04,0.000000,0.000000,0.010000
t-2-5,1.7079945565e-06,3.9040527190e-04,2.8082844801e-04,0.000000,0.000000,0.012500
