结构名称,MSE,MAE,Avg_STD,Delta_cc,Delta_vdw,Delta_strain
t-0-0,2.2282290738e-03,1.1730856262e-02,4.9132220447e-03,-0.080282,0.000000,0.000000
t-0-1,1.8804351566e-03,1.0302511975e-02,4.5801796950e-03,-0.076056,0.000000,0.000000
t-0-2,1.6475282609e-03,9.1834822670e-03,4.3414440006e-03,-0.072535,0.000000,0.000000
t-0-3,1.4311933191e-03,7.9696355388e-03,4.1185426526e-03,-0.068310,0.000000,0.000000
t-0-4,1.2531819521e-03,6.7201228812e-03,3.9499639533e-03,-0.064085,0.000000,0.000000
t-0-5,1.1493768543e-03,5.8091925457e-03,3.8501031231e-03,-0.060563,0.000000,0.000000
t-0-6,1.0775342816e-03,4.9567855895e-03,3.7552216090e-03,-0.056338,0.000000,0.000000
t-0-7,1.0513163870e-03,4.3707164004e-03,3.6457001697e-03,-0.052113,0.000000,0.000000
t-0-8,1.0730827926e-03,4.0773493238e-03,3.5459653009e-03,-0.048592,0.000000,0.000000
t-0-9,1.1046648724e-03,3.7926863879e-03,3.3805370331e-03,-0.044366,0.000000,0.000000
t-1-0,1.1304267682e-03,3.5854687449e-03,3.1620229129e-03,-0.040141,0.000000,0.000000
t-1-1,1.1628530920e-03,3.4960799385e-03,3.0049828347e-03,-0.036620,0.000000,0.000000
t-1-2,1.1794075835e-03,3.4268214367e-03,2.7963384055e-03,-0.032394,0.000000,0.000000
t-1-3,1.1863737600e-03,3.4248272423e-03,2.6081595570e-03,-0.028169,0.000000,0.000000
t-1-4,1.1878611986e-03,3.4496726003e-03,2.4865127634e-03,-0.024648,0.000000,0.000000
t-1-5,2.8695234505e-05,1.5411091736e-03,8.6044048658e-04,-0.020423,0.000000,0.000000
t-1-6,1.6875443180e-05,1.1669292580e-03,6.8188435398e-04,-0.016197,0.000000,0.000000
t-1-7,9.8313103081e-06,8.9181598742e-04,5.4421700770e-04,-0.012676,0.000000,0.000000
t-1-8,4.7570379138e-06,6.4390717307e-04,4.0168070700e-04,-0.008451,0.000000,0.000000
t-1-9,1.2877683275e-06,3.7801024155e-04,2.6406798861e-04,-0.004225,0.000000,0.000000
t-2-0,1.4432609419e-07,1.8844050646e-04,1.7802676302e-04,0.000000,0.000000,0.000000
t-2-1,7.6047689390e-07,2.9510143213e-04,2.0744708308e-04,0.003521,0.000000,0.000000
t-2-2,2.9927527976e-06,4.8751619761e-04,3.1327985926e-04,0.007746,0.000000,0.000000
t-2-3,6.9730640462e-06,6.9312984124e-04,4.3297372758e-04,0.011972,0.000000,0.000000
t-2-4,1.1370812899e-05,8.5680093616e-04,5.3425133228e-04,0.015493,0.000000,0.000000
t-2-5,1.7715967260e-05,1.0468538385e-03,6.5762444865e-04,0.019718,0.000000,0.000000
t-2-6,2.5462084523e-05,1.2341958936e-03,8.0002268078e-04,0.023944,0.000000,0.000000
t-2-7,5.0917360932e-04,2.4837986566e-03,1.3714658562e-03,0.027465,0.000000,0.000000
t-2-8,5.2202498773e-04,2.5126140099e-03,1.4446256682e-03,0.031690,0.000000,0.000000
t-2-9,5.3534848848e-04,2.5896676816e-03,1.5301605454e-03,0.035915,0.000000,0.000000
t-3-0,5.4890749743e-04,2.6817431208e-03,1.6066995449e-03,0.039437,0.000000,0.000000
t-3-1,5.9995037736e-04,2.8219202068e-03,1.7203518655e-03,0.043662,0.000000,0.000000
t-3-2,6.3681066968e-04,2.8574240860e-03,1.8374829087e-03,0.047887,0.000000,0.000000
t-3-3,6.8120256765e-04,2.9448145069e-03,1.9716382958e-03,0.051408,0.000000,0.000000
t-3-4,8.6066563381e-04,3.3951937221e-03,2.2420817986e-03,0.055634,0.000000,0.000000
t-3-5,9.5381936990e-04,3.9437147789e-03,2.4671223946e-03,0.059859,0.000000,0.000000
