结构名称,MSE,MAE,Avg_STD,Delta_cc,Delta_vdw,Delta_strain
t-0-0,5.5333892815e-03,2.4502186105e-02,7.0158541203e-03,0.000000,-0.300000,0.000000
t-0-1,4.4241547585e-03,2.1684084088e-02,6.2904744409e-03,0.000000,-0.285075,0.000000
t-0-2,3.2945952844e-03,1.8550001085e-02,5.7532596402e-03,0.000000,-0.270149,0.000000
t-0-3,2.3552253842e-03,1.5572269447e-02,5.3771096282e-03,0.000000,-0.255224,0.000000
t-0-4,1.6828085063e-03,1.3111279346e-02,5.0218631513e-03,0.000000,-0.240000,0.000000
t-0-5,1.1242576875e-03,1.0768489912e-02,4.3498426676e-03,0.000000,-0.225075,0.000000
t-0-6,6.0598272830e-04,8.0829057842e-03,3.6559803411e-03,0.000000,-0.210149,0.000000
t-0-7,3.4732412314e-04,6.2494575977e-03,3.0461195856e-03,0.000000,-0.195224,0.000000
t-0-8,2.2181867098e-04,5.0077592023e-03,2.5211649481e-03,0.000000,-0.180000,0.000000
t-0-9,1.2232626614e-04,3.7834804971e-03,1.9871105906e-03,0.000000,-0.165075,0.000000
t-1-0,5.5409629567e-05,2.6985323057e-03,1.5212814324e-03,0.000000,-0.150149,0.000000
t-1-1,2.4243436201e-05,1.9060793566e-03,1.1506080627e-03,0.000000,-0.135224,0.000000
t-1-2,1.1426333913e-05,1.2792559573e-03,7.9069513595e-04,0.000000,-0.120000,0.000000
t-1-3,8.8982214947e-06,8.7537837680e-04,5.8800453553e-04,0.000000,-0.105075,0.000000
t-1-4,6.0477777879e-06,6.6629558569e-04,4.3252130854e-04,0.000000,-0.090149,0.000000
t-1-5,3.1722145195e-06,4.8608364887e-04,3.2431349973e-04,0.000000,-0.075224,0.000000
t-1-6,1.4195856011e-06,3.4941127524e-04,2.5924222427e-04,0.000000,-0.060000,0.000000
t-1-7,5.7364030681e-07,2.6440745569e-04,2.1589253447e-04,0.000000,-0.045075,0.000000
t-1-8,2.5487335620e-07,2.1900594584e-04,1.9409941160e-04,0.000000,-0.030149,0.000000
t-1-9,2.0139967205e-07,2.0526844310e-04,1.8407095922e-04,0.000000,-0.015224,0.000000
t-2-0,1.4432609419e-07,1.8844050646e-04,1.7802676302e-04,0.000000,0.000000,0.000000
t-2-1,1.2917053027e-07,1.8666466349e-04,1.8293426547e-04,0.000000,0.014925,0.000000
t-2-2,1.3248514108e-07,1.8965527124e-04,1.8852154608e-04,0.000000,0.029851,0.000000
t-2-3,2.1724278554e-07,2.1362557891e-04,2.0011678862e-04,0.000000,0.044776,0.000000
t-2-4,1.2012715160e-06,3.3408484887e-04,2.2450459073e-04,0.000000,0.060000,0.000000
t-2-5,2.5237591217e-06,4.2347065755e-04,2.5729485787e-04,0.000000,0.074925,0.000000
t-2-6,4.6254958761e-06,5.3067511180e-04,3.0385074206e-04,0.000000,0.089851,0.000000
t-2-7,9.0536286734e-06,7.0268969284e-04,3.6081825965e-04,0.000000,0.104776,0.000000
t-2-8,1.3657243471e-05,8.3741394337e-04,4.1921873344e-04,0.000000,0.120000,0.000000
t-2-9,2.8852928153e-05,1.1803372763e-03,4.8566356418e-04,0.000000,0.134925,0.000000
t-3-0,3.8508660509e-05,1.3357539428e-03,5.4175429977e-04,0.000000,0.149851,0.000000
