结构名称,MSE,MAE,Avg_STD,Delta_cc,Delta_vdw,Delta_strain
t-0-0,3.3251257264e-04,2.0087705925e-03,1.5772266779e-03,0.000000,0.000000,-0.050000
t-0-1,3.3412469202e-04,1.9931960851e-03,1.5323919943e-03,0.000000,0.000000,-0.047500
t-0-2,3.3611507388e-04,1.9827340730e-03,1.4877939830e-03,0.000000,0.000000,-0.045000
t-0-3,3.3811604953e-04,1.9792874809e-03,1.4438846847e-03,0.000000,0.000000,-0.042500
t-0-4,3.3986361814e-04,1.9794476684e-03,1.4014997287e-03,0.000000,0.000000,-0.040000
t-0-5,1.6290508211e-04,1.4628687641e-03,1.0770178633e-03,0.000000,0.000000,-0.037500
t-0-6,1.6260020493e-04,1.4334423468e-03,1.0323644383e-03,0.000000,0.000000,-0.035000
t-0-7,1.6219766985e-04,1.4104070142e-03,9.9362898618e-04,0.000000,0.000000,-0.032500
t-0-8,1.6170575691e-04,1.4007154386e-03,9.5894240076e-04,0.000000,0.000000,-0.030000
t-0-9,4.9293495977e-05,9.2313881032e-04,6.7840918200e-04,0.000000,0.000000,-0.027500
t-1-0,4.7770121455e-05,8.7565783178e-04,6.3981791027e-04,0.000000,0.000000,-0.025000
t-1-1,7.7860113379e-06,8.1871455768e-04,5.1492045168e-04,0.000000,0.000000,-0.022500
t-1-2,6.0712332015e-06,7.2563730646e-04,4.6539871255e-04,0.000000,0.000000,-0.020000
t-1-3,4.6076502258e-06,6.3773064176e-04,4.1784858331e-04,0.000000,0.000000,-0.017500
t-1-4,3.5261393805e-06,5.6838744786e-04,3.7554540904e-04,0.000000,0.000000,-0.015000
t-1-5,2.4727182790e-06,4.8876827350e-04,3.3173599513e-04,0.000000,0.000000,-0.012500
t-1-6,1.7214894115e-06,4.2509386549e-04,2.9243115569e-04,0.000000,0.000000,-0.010000
t-1-7,1.0414403278e-06,3.5246540210e-04,2.5383502361e-04,0.000000,0.000000,-0.007500
